NOMBRE,D1,D,D3,AP,L3,L,BCH,DIENTES,P,M,K,N,S,H,PLANEADO,RANURADO,ESCUADRA,CAVIDAD
UCDE0700A5ASA,7,8,7,16.00,,63.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE0700A5ASA,7,8,7,16.00,,63.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE0800A5ASA,8,8,8,19.00,,63.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE0800A5ASA,8,8,8,19.00,,63.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE0900A5ASA,9,10,9,19.00,,72.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE0900A5ASA,9,10,9,19.00,,72.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE1000A5ASA,10,10,10,22.00,,72.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE1000A5ASA,10,10,10,22.00,,72.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE1200A5ASA,12,12,12,26.00,,83.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE1200A5ASA,12,12,12,26.00,,83.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE1400A5ASA,14,14,14,26.00,,83.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE1400A5ASA,14,14,14,26.00,,83.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE1600A5ASA,16,16,16,32.00,,92.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE1600A5ASA,16,16,16,32.00,,92.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE1800A5ASA,18,18,18,32.00,,92.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE1800A5ASA,18,18,18,32.00,,92.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE2000A5ASA,20,20,20,38.00,,104.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE2000A5ASA,20,20,20,38.00,,104.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE2500A5ASA,25,25,25,45.00,,121.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE2500A5ASA,25,25,25,45.00,,121.00,,5.00,1,1,1,0,0,0,0,1,0,0
